날짜,국내주식,해외주식,채권
2006-01-31,1399.83,1280.08,99.1409
2006-02-28,1371.59,1280.66,99.6822
2006-03-31,1359.6,1294.83,98.5683
2006-04-30,1419.73,1310.61,99.2977
2006-05-31,1317.7,1270.09,99.9613
2006-06-30,1295.15,1270.2,99.0217
2006-07-31,1297.82,1276.66,99.662
2006-08-31,1352.74,1303.82,100.276
2006-09-30,1371.41,1335.85,98.9419
2006-10-31,1364.55,1377.94,98.9354
2006-11-30,1432.21,1400.63,99.0496
2006-12-31,1434.46,1418.3,98.3406
2007-01-31,1360.23,1438.24,98.6123
2007-02-28,1417.34,1406.82,99.3488
2007-03-31,1452.55,1420.86,98.4468
2007-04-30,1542.24,1482.37,98.076
2007-05-31,1700.91,1530.62,98.2061
2007-06-30,1743.6,1503.35,96.6939
2007-07-31,1933.27,1455.27,97.3089
2007-08-31,1873.24,1473.99,97.2438
2007-09-30,1946.48,1526.75,96.7265
2007-10-31,2064.85,1549.38,97.2617
2007-11-30,1906,1481.14,96.7135
2007-12-31,1897.13,1468.35,95.6653
2008-01-31,1624.68,1378.55,97.9863
2008-02-29,1711.62,1330.63,98.5182
2008-03-31,1703.99,1322.7,97.7799
2008-04-30,1825.47,1385.59,98.7039
2008-05-31,1852.02,1400.38,97.6839
2008-06-30,1674.92,1280,95.286
2008-07-31,1594.67,1267.38,95.9192
2008-08-31,1474.24,1282.83,96.4309
2008-09-30,1448.06,1166.36,96.2292
2008-10-31,1113.06,968.75,99.5377
2008-11-30,1076.07,896.24,98.8504
2008-12-31,1124.47,903.25,101.1415
2009-01-31,1162.11,825.88,101.2964
2009-02-28,1063.03,735.09,100.6419
2009-03-31,1206.26,797.87,99.8154
2009-04-30,1369.36,872.81,101.2853
2009-05-31,1395.89,919.14,100.7254
2009-06-30,1390.07,919.32,98.951
2009-07-31,1557.29,987.48,99.1801
2009-08-31,1591.85,1020.62,98.9736
2009-09-30,1673.14,1057.08,98.7063
2009-10-31,1580.69,1036.19,98.8433
2009-11-30,1555.6,1095.63,100.2142
2009-12-31,1682.77,1115.1,98.303
2010-01-31,1602.43,1073.87,99.1389
2010-02-28,1594.58,1104.49,99.9975
2010-03-31,1692.85,1169.43,100.2257
2010-04-30,1741.56,1186.69,101.1898
2010-05-31,1641.25,1089.41,101.3957
2010-06-30,1698.29,1030.71,99.8937
2010-07-31,1759.33,1101.6,100.4696
2010-08-31,1742.75,1049.33,101.6215
2010-09-30,1872.81,1141.2,101.8919
2010-10-31,1882.95,1183.26,102.0434
2010-11-30,1904.63,1180.55,102.3927
2010-12-31,2051,1257.64,100.8298
2011-01-31,2069.73,1286.12,99.997
2011-02-28,1939.3,1327.22,100.7402
2011-03-31,2106.7,1325.83,100.8302
2011-04-30,2192.36,1363.61,101.0921
2011-05-31,2142.47,1345.2,101.9346
2011-06-30,2100.69,1320.64,100.6624
2011-07-31,2133.21,1292.28,100.8168
2011-08-31,1880.11,1218.89,102.1761
2011-09-30,1769.65,1131.42,101.5916
2011-10-31,1909.03,1253.3,102.0117
2011-11-30,1847.51,1246.96,102.7074
2011-12-31,1825.74,1257.6,101.987
2012-01-31,1955.79,1312.41,102.1867
2012-02-29,2030.25,1365.68,102.295
2012-03-31,2014.04,1408.47,101.6486
2012-04-30,1981.99,1397.91,102.2843
2012-05-31,1843.47,1310.33,102.937
2012-06-30,1854.01,1362.16,102.1254
2012-07-31,1881.99,1379.32,103.6603
2012-08-31,1905.12,1406.58,104.2182
2012-09-30,1996.21,1440.67,103.8024
2012-10-31,1912.06,1412.16,104.1101
2012-11-30,1932.9,1416.18,104.1778
2012-12-31,1997.05,1426.19,103.2488
2013-01-31,1961.94,1498.11,103.7069
2013-02-28,2026.49,1514.68,104.3461
2013-03-31,2004.89,1569.19,104.4812
2013-04-30,1963.95,1597.57,104.8
2013-05-31,2001.05,1630.74,104.1315
2013-06-30,1863.32,1606.28,102.8493
2013-07-31,1914.03,1685.72,103.0036
2013-08-31,1926.36,1632.97,103.4425
2013-09-30,1996.96,1681.55,103.4866
2013-10-31,2030.09,1756.54,103.7311
2013-11-30,2044.87,1805.81,103.3454
2013-12-31,2011.34,1848.36,103.0597
2014-01-31,1941.15,1782.59,103.3129
2014-02-28,1979.99,1859.45,103.7647
2014-03-31,1985.61,1872.33,103.4086
2014-04-30,1961.79,1883.95,103.6854
2014-05-31,1994.96,1923.57,104.1912
2014-06-30,2002.21,1960.23,103.8817
2014-07-31,2076.12,1930.67,104.5702
2014-08-31,2068.54,2003.37,104.8511
2014-09-30,2020.09,1972.28,105.2585
2014-10-31,1964.43,2018.05,106.0154
2014-11-30,1980.78,2067.56,106.3818
2014-12-31,1915.59,2058.9,105.4935
2015-01-31,1949.26,1994.99,106.2232
2015-02-28,1985.8,2104.5,106.2232
2015-03-31,2041.03,2067.89,106.8512
2015-04-30,2127.17,2085.51,106.5257
2015-05-31,2114.8,2107.39,107.0313
2015-06-30,2074.2,2063.11,106.1579
2015-07-31,2030.16,2103.84,106.4381
2015-08-31,1941.49,1972.18,106.7918
2015-09-30,1962.81,1920.03,107.1884
2015-10-31,2029.47,2079.36,107.0754
2015-11-30,1991.97,2080.41,106.7824
2015-12-31,1961.31,2043.94,106.7296
2016-01-31,1912.06,1940.24,107.1922
2016-02-29,1916.66,1932.23,107.7113
2016-03-31,1995.85,2059.74,107.5066
2016-04-30,1994.15,2065.3,107.6409
2016-05-31,1983.4,2096.96,107.6586
2016-06-30,1970.35,2098.86,107.9727
2016-07-31,2016.19,2173.6,108.2446
2016-08-31,2034.65,2170.95,108.0575
2016-09-30,2043.63,2168.27,107.9869
2016-10-31,2008.19,2126.15,107.4361
2016-11-30,1983.48,2198.81,106.5464
2016-12-31,2026.46,2238.83,106.4116
2017-01-31,2067.57,2278.87,106.4864
2017-02-28,2091.64,2363.64,106.6611
2017-03-31,2160.23,2362.72,106.6891
2017-04-30,2205.44,2384.2,106.8217
2017-05-31,2347.38,2411.8,106.9543
2017-06-30,2391.79,2423.41,106.4962
2017-07-31,2402.71,2470.3,106.635
2017-08-31,2363.19,2471.65,106.6706
2017-09-30,2394.47,2519.36,106.1762
2017-10-31,2523.43,2575.26,105.3798
2017-11-30,2476.37,2647.58,105.9273
2017-12-31,2467.49,2673.61,105.355
2018-01-31,2566.46,2823.81,105.0283
2018-02-28,2427.36,2713.83,105.3869
2018-03-31,2445.85,2640.87,105.486
2018-04-30,2515.38,2648.05,105.635
2018-05-31,2423.01,2705.27,105.9046
2018-06-30,2326.13,2718.37,105.7997
2018-07-31,2295.26,2816.29,105.9797
2018-08-31,2322.88,2901.52,106.8518
2018-09-30,2343.07,2913.98,106.3476
2018-10-31,2029.69,2711.74,106.7768
2018-11-30,2096.86,2760.17,107.1531
2018-12-31,2041.04,2506.85,106.7909
2019-01-31,2204.85,2704.1,107.0198
2019-02-28,2195.44,2784.49,107.1712
2019-03-31,2140.67,2834.4,107.3637
2019-04-30,2203.59,2945.83,107.4902
2019-05-31,2041.74,2752.06,108.0348
2019-06-30,2130.62,2941.76,107.7128
2019-07-31,2024.55,2980.38,108.4082
2019-08-31,1967.79,2926.46,108.7929
2019-09-30,2063.05,2976.74,108.2137
2019-10-31,2083.48,3037.56,107.7358
2019-11-30,2087.96,3140.98,108.1677
2019-12-31,2197.67,3230.78,107.7303
2020-01-31,2119.01,3225.52,108.087
2020-02-29,1987.01,2954.22,108.8219
2020-03-31,1754.64,2584.59,108.5604
2020-04-30,1947.56,2912.43,108.9582
2020-05-31,2029.6,3044.31,109.5853
2020-06-30,2108.33,3100.29,109.1838
2020-07-31,2249.37,3271.12,109.5275
2020-08-31,2326.17,3500.31,109.105
2020-09-30,2327.89,3363,109.343
2020-10-31,2267.15,3269.96,109.0913
2020-11-30,2591.34,3621.63,108.9546
2020-12-31,2873.47,3756.07,108.6742
2021-01-31,2976.21,3714.24,108.8552
2021-02-28,3012.95,3811.15,108.7213
2021-03-31,3061.42,3972.89,108.3753
2021-04-30,3147.86,4181.17,108.4771
2021-05-31,3203.92,4204.11,108.368
2021-06-30,3296.68,4297.5,107.8334
2021-07-31,3202.32,4395.26,108.1898
2021-08-31,3199.27,4522.68,108.3608
2021-09-30,3068.82,4307.54,107.5384
2021-10-31,2970.68,4605.38,106.1508
2021-11-30,2839.01,4567,107.4219
2021-12-31,2977.65,4766.18,107.2389
2022-01-31,2663.34,4515.55,106.2662
2022-02-28,2699.18,4373.94,106.3386
2022-03-31,2757.65,4530.41,105.0295
2022-04-30,2695.05,4131.93,104.2982
2022-05-31,2685.9,4132.15,104.4098
2022-06-30,2332.64,3785.38,102.6795
2022-07-31,2451.5,4130.29,104.6503
2022-08-31,2472.05,3955,102.912